iter	MultiClass
0	1.733080107
1	1.571079331
2	1.432705309
3	1.32908959
4	1.249037301
5	1.180175374
6	1.120593192
7	1.064736973
8	1.016069314
9	0.9732902759
10	0.9364226852
11	0.9027566237
12	0.8717176447
13	0.846468991
14	0.8221659014
15	0.8000290138
16	0.7794185396
17	0.7597031234
18	0.7409797876
19	0.7242006879
20	0.7093457705
21	0.6931054956
22	0.6793715765
23	0.6657986494
24	0.654211042
25	0.6430350185
26	0.6312072702
27	0.6215464131
28	0.611837176
29	0.6024466197
30	0.5939029862
31	0.5863312263
32	0.5811713826
33	0.5735236605
34	0.5651769751
35	0.5580470784
36	0.5515933951
37	0.5448011532
38	0.5383706799
39	0.5327787909
40	0.526385661
41	0.5202090993
42	0.5153463367
43	0.5101423993
44	0.50590657
45	0.5012433971
46	0.4963295679
47	0.4914961728
48	0.4870501213
49	0.4816505298
50	0.4774789808
51	0.4739119173
52	0.4706710212
53	0.4664207447
54	0.4626833744
55	0.4600604257
56	0.4560405887
57	0.4523200929
58	0.4489742524
59	0.4463323992
60	0.4440979331
61	0.441045134
62	0.4379434305
63	0.4359625264
64	0.4335445453
65	0.4307335909
66	0.4290313578
67	0.4255126457
68	0.4227382331
69	0.4197032082
70	0.4166333145
71	0.4150094981
72	0.4113316073
73	0.4090193596
74	0.4064895393
75	0.4041260192
76	0.4022628134
77	0.3997680421
78	0.3975785566
79	0.3947755103
80	0.3926607254
81	0.391015582
82	0.3884560542
83	0.3870914362
84	0.3852057778
85	0.382894861
86	0.380195027
87	0.3776660797
88	0.3756182527
89	0.3729282994
90	0.3708162627
91	0.3690155895
92	0.3670686096
93	0.3650854396
94	0.3627132426
95	0.3606416242
96	0.3588729145
97	0.357091245
98	0.3551925741
99	0.3529114323
100	0.3515100074
101	0.3496494728
102	0.3484351278
103	0.3465923478
104	0.3450722947
105	0.3433709552
106	0.3409307152
107	0.3392479514
108	0.3379791047
109	0.3366843859
110	0.3355474035
111	0.3335297599
112	0.3316172038
113	0.3300348408
114	0.3285052935
115	0.326822929
116	0.325519475
117	0.3238977994
118	0.3229182836
119	0.3214346264
120	0.3198998816
121	0.3184540076
122	0.3172731612
123	0.3156986297
124	0.3143765104
125	0.3129912689
126	0.3115178368
127	0.3102842207
128	0.3084151866
129	0.3072879819
130	0.3059149924
131	0.3044939513
132	0.3027180772
133	0.3012317283
134	0.2994715598
135	0.2978777094
136	0.2970466711
137	0.2956944754
138	0.2942311954
139	0.2933660735
140	0.2918304503
141	0.2906698131
142	0.2899774112
143	0.2887072981
144	0.2875202813
145	0.2860941307
146	0.2848394564
147	0.2834465415
148	0.2823091162
149	0.2808152375
150	0.279658788
151	0.2788925762
152	0.2779375394
153	0.2771144627
154	0.2760508892
155	0.2747532426
156	0.2738714107
157	0.2723443762
158	0.2711128007
159	0.2700138647
160	0.2688295653
161	0.2679015917
162	0.2667154082
163	0.2650922864
164	0.264085254
165	0.263600914
166	0.2628375137
167	0.2615679082
168	0.2601714472
169	0.2591995425
170	0.2581696467
171	0.2570405631
172	0.2561061927
173	0.2549901619
174	0.254058693
175	0.2529927546
176	0.2519451945
177	0.2508145749
178	0.249873922
179	0.2492277598
180	0.2485180348
181	0.2473424869
182	0.2461693766
183	0.245080365
184	0.2444528664
185	0.2434852956
186	0.2422743796
187	0.2414181883
188	0.2401340778
189	0.2395426609
190	0.2386207623
191	0.2380338627
192	0.2371730903
193	0.2363998825
194	0.2355856416
195	0.2345991213
196	0.2338020632
197	0.233221375
198	0.2325236175
199	0.231939239
