iter	Passed	Remaining
0	10	5278
1	21	5239
2	31	5140
3	41	5101
4	51	5104
5	61	5068
6	72	5084
7	82	5057
8	92	5025
9	102	5038
10	113	5023
11	122	5001
12	132	4970
13	142	4954
14	152	4945
15	162	4920
16	172	4908
17	182	4898
18	194	4913
19	204	4908
20	214	4902
21	225	4890
22	235	4883
23	246	4879
24	256	4878
25	266	4865
26	277	4852
27	286	4837
28	297	4827
29	307	4810
30	316	4794
31	327	4782
32	337	4774
33	347	4762
34	357	4751
35	367	4741
36	377	4729
37	387	4716
38	398	4708
39	408	4698
40	418	4686
41	429	4678
42	438	4665
43	448	4653
44	459	4644
45	469	4636
46	480	4626
47	490	4616
48	500	4608
49	510	4597
50	521	4590
51	531	4580
52	541	4566
53	551	4556
54	561	4543
55	571	4533
56	581	4521
57	591	4509
58	602	4500
59	612	4488
60	622	4478
61	632	4467
62	642	4456
63	652	4447
64	662	4436
65	672	4424
66	682	4413
67	692	4401
68	703	4391
69	713	4384
70	723	4374
71	733	4361
72	744	4353
73	754	4343
74	764	4331
75	774	4318
76	784	4307
77	794	4297
78	804	4288
79	814	4276
80	824	4266
81	834	4255
82	844	4244
83	854	4234
84	864	4223
85	875	4216
86	886	4205
87	896	4198
88	906	4187
89	916	4176
90	927	4167
91	937	4155
92	946	4143
93	957	4133
94	967	4123
95	977	4111
96	987	4101
97	997	4091
98	1008	4082
99	1018	4074
100	1028	4064
101	1039	4054
102	1048	4043
103	1058	4031
104	1068	4021
105	1078	4009
106	1088	3997
107	1098	3986
108	1108	3976
109	1118	3966
110	1128	3956
111	1138	3944
112	1148	3933
113	1158	3923
114	1169	3913
115	1179	3903
116	1188	3891
117	1198	3880
118	1208	3869
119	1218	3858
120	1227	3846
121	1238	3835
122	1247	3824
123	1257	3813
124	1268	3805
125	1278	3794
126	1288	3784
127	1298	3772
128	1307	3761
129	1318	3751
130	1328	3741
131	1338	3730
132	1348	3720
133	1358	3710
134	1368	3699
135	1378	3688
136	1388	3678
137	1398	3667
138	1408	3657
139	1418	3646
140	1428	3636
141	1438	3625
142	1448	3615
143	1458	3604
144	1467	3593
145	1477	3582
146	1487	3572
147	1497	3562
148	1507	3552
149	1518	3542
150	1528	3531
151	1538	3522
152	1548	3512
153	1558	3502
154	1569	3492
155	1579	3482
156	1588	3471
157	1599	3461
158	1609	3452
159	1619	3441
160	1629	3431
161	1639	3421
162	1649	3410
163	1659	3400
164	1670	3390
165	1680	3381
166	1690	3371
167	1700	3360
168	1711	3351
169	1721	3341
170	1731	3330
171	1741	3320
172	1751	3310
173	1761	3299
174	1771	3289
175	1781	3278
176	1791	3268
177	1801	3258
178	1811	3249
179	1821	3238
180	1831	3228
181	1842	3218
182	1851	3208
183	1862	3198
184	1872	3188
185	1882	3178
186	1892	3167
187	1902	3157
188	1912	3146
189	1922	3136
190	1932	3126
191	1942	3116
192	1952	3106
193	1963	3096
194	1973	3086
195	1983	3076
196	1993	3066
197	2003	3055
198	2013	3045
199	2023	3035
200	2033	3025
201	2044	3015
202	2054	3005
203	2063	2994
204	2073	2984
205	2083	2974
206	2094	2964
207	2104	2953
208	2113	2943
209	2124	2933
210	2133	2922
211	2143	2912
212	2154	2902
213	2164	2892
214	2173	2881
215	2184	2872
216	2194	2861
217	2204	2851
218	2215	2842
219	2225	2832
220	2235	2822
221	2246	2812
222	2256	2802
223	2266	2792
224	2276	2782
225	2286	2772
226	2296	2761
227	2306	2751
228	2316	2741
229	2326	2731
230	2337	2721
231	2346	2711
232	2356	2700
233	2366	2690
234	2376	2680
235	2386	2670
236	2397	2660
237	2407	2650
238	2418	2640
239	2428	2630
240	2438	2620
241	2448	2610
242	2458	2600
243	2469	2590
244	2479	2581
245	2489	2570
246	2499	2560
247	2510	2550
248	2520	2540
249	2530	2530
250	2540	2520
251	2551	2510
252	2561	2500
253	2571	2490
254	2581	2480
255	2591	2470
256	2601	2459
257	2611	2449
258	2621	2439
259	2631	2429
260	2642	2419
261	2651	2409
262	2662	2399
263	2672	2389
264	2682	2379
265	2693	2369
266	2703	2358
267	2713	2348
268	2723	2339
269	2734	2329
270	2744	2318
271	2754	2308
272	2764	2298
273	2774	2288
274	2784	2278
275	2794	2268
276	2805	2258
277	2814	2247
278	2824	2237
279	2834	2227
280	2844	2217
281	2854	2206
282	2865	2196
283	2874	2186
284	2884	2176
285	2895	2166
286	2905	2156
287	2915	2146
288	2925	2135
289	2936	2126
290	2946	2116
291	2956	2106
292	2966	2096
293	2977	2085
294	2986	2075
295	2996	2065
296	3007	2055
297	3017	2045
298	3027	2035
299	3037	2025
300	3047	2014
301	3057	2004
302	3067	1994
303	3077	1984
304	3087	1974
305	3097	1964
306	3107	1953
307	3117	1943
308	3127	1933
309	3137	1923
310	3147	1913
311	3158	1902
312	3168	1892
313	3178	1882
314	3188	1872
315	3198	1862
316	3208	1852
317	3217	1841
318	3227	1831
319	3238	1821
320	3248	1811
321	3258	1801
322	3269	1791
323	3279	1781
324	3289	1771
325	3299	1761
326	3309	1750
327	3319	1740
328	3329	1730
329	3339	1720
330	3349	1710
331	3359	1700
332	3370	1690
333	3380	1680
334	3390	1670
335	3401	1660
336	3411	1649
337	3421	1640
338	3431	1629
339	3442	1619
340	3452	1609
341	3462	1599
342	3473	1589
343	3483	1579
344	3493	1569
345	3503	1559
346	3514	1549
347	3523	1539
348	3534	1529
349	3543	1518
350	3554	1508
351	3564	1498
352	3574	1488
353	3584	1478
354	3595	1468
355	3605	1458
356	3615	1448
357	3625	1438
358	3635	1428
359	3645	1417
360	3655	1407
361	3665	1397
362	3676	1387
363	3686	1377
364	3696	1367
365	3706	1356
366	3716	1346
367	3726	1336
368	3736	1326
369	3746	1316
370	3756	1306
371	3766	1296
372	3776	1285
373	3786	1275
374	3796	1265
375	3806	1255
376	3816	1245
377	3826	1235
378	3836	1224
379	3847	1214
380	3857	1204
381	3867	1194
382	3877	1184
383	3887	1174
384	3897	1164
385	3907	1154
386	3917	1143
387	3927	1133
388	3937	1123
389	3948	1113
390	3957	1103
391	3967	1093
392	3977	1083
393	3987	1072
394	3998	1062
395	4007	1052
396	4017	1042
397	4027	1032
398	4037	1021
399	4047	1011
400	4057	1001
401	4067	991
402	4077	981
403	4087	971
404	4097	961
405	4107	950
406	4116	940
407	4126	930
408	4137	920
409	4146	910
410	4157	900
411	4167	890
412	4177	879
413	4187	869
414	4198	859
415	4208	849
416	4218	839
417	4228	829
418	4238	819
419	4248	809
420	4258	799
421	4268	788
422	4279	778
423	4288	768
424	4298	758
425	4308	748
426	4318	738
427	4328	728
428	4338	718
429	4349	708
430	4359	697
431	4370	687
432	4380	677
433	4390	667
434	4400	657
435	4410	647
436	4420	637
437	4430	627
438	4440	617
439	4451	607
440	4461	596
441	4471	586
442	4481	576
443	4491	566
444	4501	556
445	4510	546
446	4521	536
447	4531	525
448	4541	515
449	4551	505
450	4561	495
451	4571	485
452	4581	475
453	4591	465
454	4601	455
455	4610	444
456	4620	434
457	4630	424
458	4640	414
459	4650	404
460	4660	394
461	4670	384
462	4679	373
463	4689	363
464	4699	353
465	4709	343
466	4719	333
467	4729	323
468	4739	313
469	4749	303
470	4759	293
471	4770	282
472	4779	272
473	4790	262
474	4800	252
475	4810	242
476	4820	232
477	4830	222
478	4840	212
479	4850	202
480	4861	192
481	4871	181
482	4881	171
483	4891	161
484	4901	151
485	4911	141
486	4921	131
487	4931	121
488	4941	111
489	4952	101
490	4962	90
491	4972	80
492	4982	70
493	4992	60
494	5002	50
495	5012	40
496	5022	30
497	5032	20
498	5042	10
499	5052	0
